querycode,query,num_ads,num_clicks,num_impressions,num_word,brand,location,log_trans,avg_ad_quality,log_imp,avg_num_ads,categoryid
682,stock quotes,3823,157,487,2,0,0,3.9512437,0.04194185,6.1882641,7.8316222,9
683,videos,9929,157,1445,1,0,0,0.69314718,0.0123682,7.2758646,6.8574394,3
684,web messenger,15525,157,3220,2,0,0,1.9459101,0.01228051,8.0771366,4.8186335,11
685,bare minerals,2571,156,324,2,0,0,3.4657359,0.06273513,5.7807435,7.882716,16
686,infinity,2042,156,259,1,1,0,2.3025851,0.05416492,5.5568281,7.8610039,19
687,new york times,10931,156,1648,3,0,0,2.4849067,0.01350264,7.4073177,6.6225728,18
688,pay pal,2939,156,444,2,0,0,3.912023,0.06248221,6.0958246,6.6103604,9
689,solitaire,3381,156,436,1,0,0,2.0794415,0.04619707,6.0776422,7.7385321,5
690,used textbooks,2290,156,292,2,0,0,4.5432948,0.05940552,5.6767538,7.7808219,19
691,89 movies,6375,155,916,2,0,0,0,0.01592021,6.8200164,6.9279476,3
692,dvd shrink,2329,155,335,2,0,0,0.69314718,0.06501795,5.8141305,6.9044776,17
693,maps directions,3062,155,387,2,0,0,0.69314718,0.01591391,5.9584247,7.881137,18
694,nick,15673,155,4287,1,0,0,1.0986123,0.00813334,8.3633425,3.6496384,5
695,adware,2481,154,315,1,0,0,1.0986123,0.05426783,5.7525726,7.847619,11
696,medifast,1702,154,216,1,0,0,2.8332133,0.09259255,5.3752784,7.8472222,1
697,play nick games,4828,154,689,3,0,0,1.0986123,0.02713228,6.5352413,6.9724238,5
698,ritz camera,2303,154,300,2,1,0,4.2626799,0.06892589,5.7037825,7.6533333,13
699,tattoo,3895,154,563,1,0,0,1.6094379,0.03374042,6.3332796,6.9040853,16
700,tattoo designs,4197,154,600,2,0,0,0.69314718,0.0468915,6.3969297,6.9716667,16
701,wirefly,2120,154,269,1,0,0,3.6109179,0.04440814,5.5947114,7.8475836,11
702,chevy,6524,153,944,1,0,0,1.6094379,0.02473158,6.8501262,6.9025424,2
703,free samples,3662,153,527,2,0,0,2.944439,0.03403676,6.2672005,6.9316888,6
704,grocery coupons,2684,153,336,2,0,0,4.1431347,0.06038948,5.8171112,7.9434524,8
705,halloween,7886,153,1134,1,0,0,0.69314718,0.02613916,7.0335065,6.9462081,16
706,ipods,2275,153,286,1,1,0,3.3322045,0.04655435,5.6559918,7.9090909,11
